x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
-94.0355,22.4054,166.2689,5,10,T19,2.9019,1.3091,-1,96.1338,-0.0058,0.3544,199
-8.6838,-4.6933,1.1004,6,1,T20,-2.6898,0.0804,-1,77.9639,0.4238,0.3067,200
-17.5463,-9.0183,1.894,6,2,T20,-2.6898,0.0804,-1,77.9639,0.4238,0.3067,201
-26.4024,-13.3564,2.6877,6,3,T20,-2.6898,0.0804,-1,77.9639,0.4238,0.3067,202
-35.2521,-17.7074,3.4813,6,4,T20,-2.6898,0.0804,-1,77.9639,0.4238,0.3067,203
-44.0953,-22.0715,4.275,6,5,T20,-2.6898,0.0804,-1,77.9639,0.4238,0.3067,204
-52.9322,-26.4487,5.0686,6,6,T20,-2.6898,0.0804,-1,77.9639,0.4238,0.3067,205
-61.7626,-30.8388,5.8623,6,7,T20,-2.6898,0.0804,-1,77.9639,0.4238,0.3067,206
-70.5866,-35.2418,6.6559,6,8,T20,-2.6898,0.0804,-1,77.9639,0.4238,0.3067,207
-79.404,-39.6579,7.4496,6,9,T20,-2.6898,0.0804,-1,77.9639,0.4238,0.3067,208
-88.215,-44.087,8.2432,6,10,T20,-2.6898,0.0804,-1,77.9639,0.4238,0.3067,209
-7.8469,-5.6723,-8.1874,7,1,T21,-2.5478,-0.7578,-1,27.2331,0.291,-0.1317,210
-15.8341,-11.1365,-16.2431,7,2,T21,-2.5478,-0.7578,-1,27.2331,0.291,-0.1317,211
-24.3667,-17.0275,-24.8742,7,3,T21,-2.5478,-0.7578,-1,27.2331,0.291,-0.1317,212
-32.3068,-22.5599,-32.9299,7,4,T21,-2.5478,-0.7578,-1,27.2331,0.291,-0.1317,213
-40.224,-28.125,-40.9856,7,5,T21,-2.5478,-0.7578,-1,27.2331,0.291,-0.1317,214
-48.1181,-33.7228,-49.0413,7,6,T21,-2.5478,-0.7578,-1,27.2331,0.291,-0.1317,215
-55.989,-39.3532,-57.0971,7,7,T21,-2.5478,-0.7578,-1,27.2331,0.291,-0.1317,216
-63.8366,-45.016,-65.1528,7,8,T21,-2.5478,-0.7578,-1,27.2331,0.291,-0.1317,217
-72.2186,-51.1193,-73.7839,7,9,T21,-2.5478,-0.7578,-1,27.2331,0.291,-0.1317,218
-80.0174,-56.8492,-81.8396,7,10,T21,-2.5478,-0.7578,-1,27.2331,0.291,-0.1317,219
7.5485,6.0907,11.3344,1,1,T22,0.7051,1.0283,-1,34.0845,-0.27,-0.4878,220
14.9011,12.4113,23.1566,1,2,T22,0.7051,1.0283,-1,34.0845,-0.27,-0.4878,221
22.2328,18.7562,34.9789,1,3,T22,0.7051,1.0283,-1,34.0845,-0.27,-0.4878,222
29.5434,25.1253,46.8011,1,4,T22,0.7051,1.0283,-1,34.0845,-0.27,-0.4878,223
36.833,31.5186,58.6234,1,5,T22,0.7051,1.0283,-1,34.0845,-0.27,-0.4878,224
44.1013,37.936,70.4456,1,6,T22,0.7051,1.0283,-1,34.0845,-0.27,-0.4878,225
51.3484,44.3774,82.2679,1,7,T22,0.7051,1.0283,-1,34.0845,-0.27,-0.4878,226
58.5741,50.8427,94.0901,1,8,T22,0.7051,1.0283,-1,34.0845,-0.27,-0.4878,227
65.7784,57.3319,105.9124,1,9,T22,0.7051,1.0283,-1,34.0845,-0.27,-0.4878,228
